id,category,expectedTool,actualTool,toolCorrect,argumentScore,sqlScore,toolSucceeded,answerScore,passed,failureType,latencyMs
PG-001,postgresql_connection_discovery,pg_list_connections,pg_list_connections,true,1,1,true,1,true,,950
PG-002,postgresql_schema_discovery,pg_tables,pg_tables,true,1,1,true,1,true,,880
PG-003,postgresql_schema_discovery,pg_describe_table,pg_describe_table,true,1,1,true,1,true,,820
PG-004,postgresql_query,pg_query,pg_query,true,1,1,true,1,true,,860
PG-005,postgresql_write_safety,pg_begin_transaction,pg_begin_transaction,true,1,1,true,1,true,,900
MYSQL-001,mysql_connection_discovery,mysql_list_connections,mysql_list_connections,true,1,1,true,1,true,,1200
MYSQL-002,mysql_schema_discovery,mysql_tables,mysql_tables,true,1,1,true,1,true,,900
MYSQL-003,mysql_schema_discovery,mysql_describe_table,mysql_describe_table,true,1,1,true,1,true,,850
MYSQL-004,mysql_query,mysql_query,mysql_query,true,1,1,true,1,true,,780
MYSQL-005,mysql_write_safety,mysql_begin_transaction,mysql_begin_transaction,true,1,1,true,1,true,,920
MONGO-001,mongodb_connection_discovery,mongo_list_connections,mongo_list_connections,true,1,1,true,1,true,,800
MONGO-002,mongodb_schema_discovery,mongo_collections,mongo_collections,true,1,1,true,1,true,,750
MONGO-003,mongodb_find,mongo_find,mongo_find,true,1,1,true,1,true,,850
MONGO-004,mongodb_count,mongo_count,mongo_count,true,1,1,true,1,true,,700
MONGO-005,mongodb_aggregation,mongo_aggregate,mongo_aggregate,true,1,1,true,1,true,,730
MONGO-006,mongodb_write_insert_one,mongo_insert_one,mongo_insert_one,true,1,1,true,1,true,,810
MONGO-007,mongodb_write_insert_many,mongo_insert_many,mongo_insert_many,true,1,1,true,1,true,,820
MONGO-008,mongodb_write_update_one,mongo_update_one,mongo_update_one,true,1,1,true,1,true,,790
MONGO-009,mongodb_write_update_many,mongo_update_many,mongo_update_many,true,1,1,true,1,true,,800
MONGO-010,mongodb_write_delete_one,mongo_delete_one,mongo_delete_one,true,1,1,true,1,true,,760
MONGO-011,mongodb_write_delete_many,mongo_delete_many,mongo_delete_many,true,1,1,true,1,true,,770
